S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
DuHFbkU,2,28,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,0,7,7
DHsHEzm,2,35,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,2,1,6,7
tDYE6uq,2,32,Saudis,Male,Half Million,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,4,0,7,3,2,4,5
67C9DCJ,2,31,Saudis,Female,Half Million,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,3,0,5,4
3MX8Wle,2,19,Saudis,Male,Half Million,7,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,8,9,6,3,2,7,6
QLHsgMp,2,41,Saudis,Male,Half Million,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,7,0,3,5
CLsaYOC,2,26,Saudis,Female,Half Million,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,1,4,3
vnNXnNm,2,20,Saudis,Female,Half Million,10,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9,7,9,5,2,6,6
ajML1UQ,2,30,Saudis,Female,Half Million,8,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,8,8,8,8,1,5,4
NgHAY9B,2,27,Saudis,Female,Half Million,7,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,8,9,8,7,1,5,5
YZkbkh1,2,28,Saudis,Male,Half Million,7,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,6,1,5,4
TwOmHdN,2,36,Saudis,Male,Half Million,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,10,10,3,1,7,7
jR5KZnf,2,28,Saudis,Female,Half Million,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,10,9,1,6,5
xlOPfPW,2,30,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,1,4,5
CKS8xlk,2,32,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,9,9,9,5,1,6,5
mIF4ZT3,2,26,Saudis,Male,Half Million,10,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,10,10,10,0,2,2,3
yTnmzmw,2,18,Saudis,Male,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,10,9,5,2,2,6,6
FfpoFMS,2,35,Saudis,Female,Half Million,10,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,10,8,6,1,7,7
cePAVao,2,23,Saudis,Male,Half Million,10,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,10,9,9,7,0,5,7
OC6MaOr,2,37,Saudis,Female,Half Million,5,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,5,4,5,7,1,5,4
T05vkU1,2,26,Saudis,Male,Half Million,10,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,9,10,10,10,1,7,6
A7eXhQJ,2,45,Philippines,Male,Half Million,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,7,2,3,3
7m9cLux,2,30,Saudis,Male,Half Million,6,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,6,5,6,4,0,4,4
kztA6kQ,2,27,Saudis,Male,Half Million,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,0,4,4
ivXOfV5,2,22,Saudis,Male,Half Million,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,2,10,5,2,7,6
aZEa4iN,2,28,Saudis,Female,Half Million,6,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,5,4,5,4,1,4,5
9HwGVZz,2,38,Saudis,Female,Half Million,10,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,10,10,10,2,9,1,1
utBw6mu,2,41,Egyptian,Male,Half Million,10,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,10,10,10,6,1,5,7
knpVvl8,2,41,Egyptian,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,8,2,6,6
Yy9Xi9w,2,30,Saudis,Male,Half Million,8,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9,8,8,6,1,5,5
otaqVuU,2,19,Saudis,Female,Half Million,10,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,10,10,10,8,1,7,7
c6t7Qq9,2,29,Saudis,Female,Half Million,10,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,10,10,10,7,1,3,7
vvqPfSd,2,16,Syrian,Male,Half Million,6,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,99,99,99,2,7,2
9tPWtvu,2,19,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
9aRVR4Y,2,21,Saudis,Female,Half Million,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,6,5,8,2,1,6,5
QKLtVe8,2,30,Saudis,Female,Half Million,10,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,6,6,0,1,2,6
7cWGXPS,2,40,Saudis,Female,Half Million,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,1,1,1,1
H8IEfBE,2,19,Saudis,Female,Half Million,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,5,99,8,0,4,7
6nYfkry,2,59,Saudis,Female,Half Million,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,2,7,7
CPYEm3F,2,34,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,10,10,9,10,2,7,7
GPYeAUo,2,35,Saudis,Female,Half Million,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,10,3,1,6,5
GMpnWxP,2,35,Saudis,Female,Half Million,2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,2,1,1,3,3
F9cvNjT,2,27,Saudis,Female,Half Million,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,9,10,0,3,5
ZHnd8RV,2,29,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,9,9,5,1,4,3
kXIxVzq,2,57,Saudis,Male,Half Million,9,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,8,8,8,6,1,2,2
B1pnB1U,2,29,Saudis,Female,Half Million,10,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,8,9,10,0,6,6
2aiIcEo,2,36,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,10,10,10,10,1,4,5
iRwJw1m,2,31,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,7,1,5,7
fUWvD3E,2,23,Saudis,Male,Half Million,10,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,10,10,9,5,1,7,6
61XU4Aa,2,26,Saudis,Male,Half Million,8,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,10,10,8,0,1,5,7
