S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
eyo29ex,2,23,Saudis,Male,Half Million,9,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,9,8,8,6,1,3,6
JkPalny,2,25,Saudis,Female,Starbucks,7,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,6,5,6,5,2,3,3
UUKJrJf,2,21,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,7,0,1,6,7
Qd4Ws7w,2,20,Saudis,Female,Starbucks,7,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,10,8,9,5,1,7,6
j7Y8XGm,2,21,Saudis,Male,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QJMYJX5,2,23,Saudis,Female,Kyan,5,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,10,10,5,1,7,5
YYdQrGi,2,25,Saudis,Female,Starbucks,8,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8,7,9,10,1,6,6
narZEBU,2,18,Saudis,Male,Other from Q017,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,6,6,4,2,5,5
e5tn0I8,2,25,Saudis,Male,Other from Q017,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,2,7,7
YDAG62o,2,25,Saudis,Female,Starbucks,10,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,10,10,8,8,1,6,5
PwR7ET9,2,22,Saudis,Female,Starbucks,8,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,10,4,5,3,1,7,7
JawXMkR,2,24,Saudis,Female,Tim Hortons,10,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,10,9,8,4,1,5,5
FGJSEhU,2,25,Saudis,Male,Half Million,7,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,7,6,7,7,1,5,3
XhYCRSK,2,21,Saudis,Female,Starbucks,10,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,10,10,10,99,9,7,4
sMBp5Q8,2,36,Saudis,Male,OverDose,7,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,6,6,6,9,0,6,5
2NuXb13,2,25,Saudis,Male,Mc Cafe,10,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10,9,9,9,2,7,7
fGrkAw9,2,22,Saudis,Female,Dunkin Coffee,10,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,10,8,10,0,2,7,7
6q854V4,2,22,Saudis,Female,Mc Cafe,8,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,7,6,9,7,1,4,5
7RdYovV,2,27,Saudis,Female,Other 1 from Q018,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5,3,2,2,3
4QaWlJC,2,21,Saudis,Female,Half Million,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8,6,10,8,1,3,5
x1wV12r,2,21,Saudis,Female,Dunkin Coffee,6,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,9,5,7,5,0,6,4
q6oA1T0,2,21,Saudis,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aDawP44,2,21,Saudis,Male,Dunkin Coffee,10,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,9,6,6,5,1,5,5
wHYy5kP,2,22,Saudis,Female,Camel Step,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,7,8,9,8,1,4,6
jD9eNHk,2,28,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,10,10,10,8,1,7,7
mjxlK18,2,25,Saudis,Female,OverDose,10,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,10,10,8,10,1,7,7
ubT2QRb,2,24,Saudis,Male,Starbucks,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,7,8,8,5,1,5,4
VV0uxkn,2,21,Saudis,Male,Dunkin Coffee,9,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,9,8,5,5,1,4,5
KSNUHww,2,18,Saudis,Female,Dunkin Coffee,10,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,8,0,0,0,2,7,6
tyYQ40k,2,37,Saudis,Male,Dunkin Coffee,10,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
XhjerXB,2,24,Egyptian,Male,Other from Q017,9,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,10,99,7,0,1,2,5
RMHv03i,2,24,Saudis,Male,Dunkin Coffee,10,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,10,10,10,1,1,5,7
DwsHrFM,2,21,Saudis,Male,Dunkin Coffee,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,9,8,8,2,6,6
kUPjIm8,2,18,Indian,Male,Half Million,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,9,9,9,5,1,5,5
E5nigRz,2,23,Saudis,Male,Starbucks,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,4,2,7,5
RWKLClV,2,22,Saudis,Male,Starbucks,10,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,9,10,10,8,1,3,7
ImT50Ni,2,25,Saudis,Male,Starbucks,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,6,1,4,4
n8hiG2P,2,19,Saudis,Male,Starbucks,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,10,2,2,4,7
W1fJpRp,2,24,Saudis,Male,Dunkin Coffee,10,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,10,7,10,0,0,7,7
yrxmgUr,2,25,Saudis,Male,Java caf,5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,8,8,5,2,5,5
gb4sfjm,2,24,Saudis,Male,Dunkin Coffee,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,9,10,10,9,2,6,6
mUJpUdZ,2,23,Saudis,Female,Other 2 from Q018,10,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,8,10,7,3,1,5,4
lGYvjnE,2,29,Pakistani,Male,Dunkin Coffee,10,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,10,10,10,0,0,7,7
UU6M3q7,2,22,Saudis,Male,Half Million,7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,7,7,6,5,1,4,4
SV033V8,2,22,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,3,1,7,7
2uUSZs4,2,22,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,10,10,10,9,2,7,7
hQWRU9x,2,21,Saudis,Male,Dunkin Coffee,7,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,6,6,8,8,1,7,7
f61xO59,2,20,Saudis,Male,Java caf,9,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,9,5,4,4,1,6,6
ZE5qQdx,2,24,Saudis,Female,Kyan,10,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,8,10,10,4,2,7,5
NLMTBBt,2,22,Saudis,Male,Jolt,10,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,10,10,10,4,1,5,4
lfWEIpK,2,19,Saudis,Female,Dunkin Coffee,10,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,10,10,10,2,1,6,6
YxlcKw2,2,21,Saudis,Female,Dunkin Coffee,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,10,5,10,8,1,6,7
xivuU7E,2,19,Saudis,Female,Dunkin Coffee,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,10,10,10,2,1,4,6
Ug3WH1V,2,25,Saudis,Female,Starbucks,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,8,6,6,8,0,7,4
ndm24mI,2,25,Saudis,Female,Half Million,10,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,10,4,10,0,5,7
